group,pre,attend,post
2,0.5771148120845002,1,0.5272070846243626
2,0.8266534493851877,1,0.8765611768453253
2,0.36916594766725996,1,0.5272070846243626
2,-1.8350920151554824,1,-0.9700247391797646
2,0.9930125409189795,1,0.9015150405753941
2,0.3275761747838121,1,0.37748390224394973
2,-0.12991132693411558,1,0.0031759462929179484
2,0.6602943578513958,1,0.8765611768453253
2,0.9514227680355317,1,0.7767457219250501
2,-0.08832155405066748,1,0.35253003851388093
2,0.743473903618292,1,0.9514227680355317
2,1.492089815520355,1,1.5253616338271136
2,-1.086476103253419,1,-0.920117011719627
2,0.9930125409189795,1,1.0761920866858756
2,0.4107557205507083,1,0.42739162970408734
2,-0.1715010998175634,1,0.3275761747838121
2,0.493935266317604,1,0.9514227680355317
1,0.2443966290169162,1,0.45234549343415614
1,1.3673204968700117,1,1.3257307239865632
1,0.4107557205507083,1,0.8266534493851877
1,0.3275761747838121,1,0.42739162970408734
1,-0.1715010998175634,1,0.07803753748312436
1,-0.33786019135135553,1,0.12794526494326197
1,-1.9182715609223784,1,-0.7204861018790768
1,0.1612170832500203,1,0.3275761747838121
1,0.743473903618292,1,-0.42103973711825143
1,0.9098329951520838,1,1.1260998141460132
1,1.7000386799375953,1,1.8248079985879393
1,1.1177818595693236,1,1.2259152690662884
1,0.07803753748312436,1,0.6270225395446378
1,0.9930125409189795,1,1.0013304954956692
1,0.9098329951520838,1,0.9763766317656005
1,-0.37944996423480337,1,-0.2463626910077698
1,0.493935266317604,1,0.602068675814569
1,0.2028068561334681,1,0.47729935716422495
1,0.8266534493851877,1,1.026284359225738
1,-0.37944996423480337,1,-0.3711320096581138
1,0.3275761747838121,1,0.12794526494326197
1,0.6602943578513958,1,0.8765611768453253
2,-0.5873988286520433,0,-0.47094746457838876
1,0.2443966290169162,0,0.6270225395446378
1,0.8266534493851877,0,0.9264689043054629
1,-0.6705783744189392,0,-0.221408827277701
2,0.8682432222686355,0,0.5771148120845002
2,-1.9182715609223784,0,-2.0180870158426534
2,1.492089815520355,0,1.5253616338271136
2,0.5771148120845002,0,0.6769302670047749
2,0.4107557205507083,0,0.3275761747838121
2,-0.08832155405066748,0,-0.3212242821979762
2,0.7850636765017398,0,0.7767457219250501
2,-0.04673178116721966,0,0.5771148120845002
2,0.5771148120845002,0,0.7268379944649125
2,1.0761920866858756,0,1.151053677876082
2,0.493935266317604,0,0.6270225395446378
2,-0.5873988286520433,0,-0.42103973711825143
2,-1.7519124693885866,0,-1.9182715609223784
2,-1.8350920151554824,0,-1.968179288382516
2,0.3275761747838121,0,0.7268379944649125
2,-1.8350920151554824,0,-1.968179288382516
2,-0.1715010998175634,0,-0.49590132830845757
2,0.6602943578513958,0,0.6270225395446378
2,0.36916594766725996,0,0.15289912867333078
2,-1.7519124693885866,0,-1.2445172402105211
2,0.8266534493851877,0,0.47729935716422495
2,-0.08832155405066748,0,0.3275761747838121
2,-0.6705783744189392,0,-1.26947110394059
2,0.3275761747838121,0,0.42739162970408734
2,0.493935266317604,0,0.42739162970408734
2,0.07803753748312436,0,0.3275761747838121
2,-1.6687329236216903,0,-0.8702092842594894
2,0.4107557205507083,0,-0.6206706469588016
2,0.9930125409189795,0,1.1260998141460132
2,-0.33786019135135553,0,-0.6456245106888704
2,-1.7519124693885866,0,-1.9182715609223784
2,-0.2962704184679074,0,-0.2713165547378386
2,0.7018841307348437,0,0.8266534493851877
2,-1.7103226965051384,0,-1.8933176971923096
2,0.5355250392010518,0,0.07803753748312436
2,0.493935266317604,0,0.6270225395446378
2,-1.8350920151554824,0,-1.968179288382516
1,-1.8350920151554824,0,-1.968179288382516
1,-0.08832155405066748,0,-0.47094746457838876
1,0.2443966290169162,0,0.37748390224394973
1,-0.1715010998175634,0,0.12794526494326197
1,-0.08832155405066748,0,0.3275761747838121
1,-0.37944996423480337,0,0.3026223110537433
1,0.3275761747838121,0,-0.6705783744189392
1,-1.8766817880389302,0,-1.9931331521125848
1,0.7850636765017398,0,0.8765611768453253
1,-1.8350920151554824,0,-1.968179288382516
1,-0.25468064558445935,0,0.3275761747838121
1,0.2443966290169162,0,0.3275761747838121
1,-2.167810198223066,0,-2.167810198223066
1,0.7850636765017398,0,0.7767457219250501
1,0.5355250392010518,0,0.6769302670047749
1,0.5771148120845002,0,0.7767457219250501
1,0.9514227680355317,0,1.026284359225738
1,-0.005142008283771561,0,0.1778529924033993
1,-1.1280658761368667,0,-1.2445172402105211
1,0.8266534493851877,0,0.9763766317656005
1,-1.7519124693885866,0,-1.9182715609223784
1,-0.1715010998175634,0,0.028129810022986753
1,0.3275761747838121,0,0.37748390224394973
1,-1.7519124693885866,0,-1.9182715609223784
1,-1.7519124693885866,0,-1.9182715609223784
1,-1.7519124693885866,0,-1.9182715609223784
1,-1.7519124693885866,0,-1.9182715609223784
1,0.3275761747838121,0,-0.021777917437150855
1,0.7018841307348437,0,0.8016995856551189
1,0.8266534493851877,0,0.8765611768453253
